Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,Income,Montantparmois,Arembourer,Apasrembourer,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,2275,2067.0,146050.7614213198,360.0,1,4342.0,405.6965595036661,1,0,0,1,1,0,0,0,1
0,1828,1330.0,100000.0,341.9699499165275,0,3158.0,292.423354813513,0,1,0,1,1,0,0,0,1
0,3667,1459.0,144000.0,360.0,1,5126.0,400.0,1,0,0,1,1,0,0,1,0
0,4166,7210.0,184000.0,360.0,1,11376.0,511.1111111111111,1,0,1,0,1,0,0,0,1
0,3748,1668.0,110000.0,360.0,1,5416.0,305.55555555555554,1,0,1,0,0,1,0,1,0
0,3600,0.0,80000.0,360.0,0,3600.0,222.22222222222223,1,0,1,0,1,0,0,0,1
0,1800,1213.0,47000.0,360.0,1,3013.0,130.55555555555554,1,0,1,0,1,0,0,0,1
0,2400,0.0,75000.0,360.0,1,2400.0,208.33333333333334,0,1,0,1,1,0,0,0,1
0,3941,2336.0,134000.0,360.0,1,6277.0,372.22222222222223,1,0,0,1,1,0,0,1,0
0,4695,0.0,96000.0,341.9699499165275,1,4695.0,280.7264206209725,1,0,0,1,0,1,0,0,1
0,3410,0.0,88000.0,341.9699499165275,1,3410.0,257.33255223589146,1,0,1,0,1,0,0,0,1
1,5649,0.0,44000.0,360.0,1,5649.0,122.22222222222223,1,0,0,1,1,0,0,0,1
0,5821,0.0,144000.0,360.0,1,5821.0,400.0,1,0,0,1,1,0,0,0,1
0,2645,3440.0,120000.0,360.0,0,6085.0,333.3333333333333,0,1,0,1,1,0,0,0,1
0,4000,2275.0,144000.0,360.0,1,6275.0,400.0,1,0,1,0,1,0,0,1,0
0,1928,1644.0,100000.0,360.0,1,3572.0,277.77777777777777,1,0,0,1,0,1,0,1,0
0,3086,0.0,120000.0,360.0,1,3086.0,333.3333333333333,1,0,1,0,1,0,0,1,0
0,4230,0.0,112000.0,360.0,0,4230.0,311.1111111111111,1,0,1,0,1,0,0,1,0
2,4616,0.0,134000.0,360.0,0,4616.0,372.22222222222223,1,0,0,1,1,0,0,0,1
1,11500,0.0,286000.0,360.0,0,11500.0,794.4444444444445,0,1,0,1,1,0,0,0,1
2,2708,1167.0,97000.0,360.0,1,3875.0,269.44444444444446,1,0,0,1,1,0,0,1,0
0,2132,1591.0,96000.0,360.0,1,3723.0,266.6666666666667,1,0,0,1,1,0,0,1,0
0,3366,2200.0,135000.0,360.0,0,5566.0,375.0,1,0,0,1,1,0,1,0,0
1,8080,2250.0,180000.0,360.0,1,10330.0,500.0,1,0,0,1,1,0,0,0,1
2,3357,2859.0,144000.0,360.0,1,6216.0,400.0,1,0,0,1,0,1,0,0,1
0,2500,3796.0,120000.0,360.0,1,6296.0,333.3333333333333,1,0,0,1,1,0,0,0,1
3,3029,0.0,99000.0,360.0,1,3029.0,275.0,1,0,0,1,1,0,0,0,1
0,2609,3449.0,165000.0,180.0,0,6058.0,916.6666666666666,0,1,0,1,0,1,1,0,0
1,4945,0.0,146050.7614213198,360.0,0,4945.0,405.6965595036661,0,1,0,1,1,0,1,0,0
0,4166,0.0,116000.0,360.0,0,4166.0,322.22222222222223,0,1,1,0,1,0,0,1,0
0,5726,4595.0,258000.0,360.0,0,10321.0,716.6666666666666,1,0,0,1,1,0,0,1,0
0,3200,2254.0,126000.0,180.0,0,5454.0,700.0,0,1,1,0,0,1,0,0,1
1,10750,0.0,312000.0,360.0,1,10750.0,866.6666666666666,1,0,0,1,1,0,0,0,1
3,7100,0.0,125000.0,60.0,1,7100.0,2083.3333333333335,1,0,0,1,0,1,0,0,1
0,4300,0.0,136000.0,360.0,0,4300.0,377.77777777777777,0,1,1,0,1,0,0,1,0
0,3208,3066.0,172000.0,360.0,1,6274.0,477.77777777777777,1,0,0,1,1,0,0,0,1
2,1875,1875.0,97000.0,360.0,1,3750.0,269.44444444444446,1,0,0,1,0,1,0,1,0
0,3500,0.0,81000.0,300.0,1,3500.0,270.0,1,0,1,0,1,0,0,1,0
3,4755,0.0,95000.0,341.9699499165275,0,4755.0,277.80218707283734,0,1,0,1,0,1,0,1,0
3,5266,1774.0,187000.0,360.0,1,7040.0,519.4444444444445,1,0,0,1,1,0,0,1,0
0,3750,0.0,113000.0,480.0,0,3750.0,235.41666666666666,1,0,1,0,1,0,0,0,1
0,3750,4750.0,176000.0,360.0,0,8500.0,488.8888888888889,1,0,1,0,1,0,0,0,1
1,1000,3022.0,110000.0,360.0,0,4022.0,305.55555555555554,1,0,0,1,1,0,0,0,1
3,3167,4000.0,180000.0,300.0,0,7167.0,600.0,0,1,0,1,1,0,0,1,0
3,3333,2166.0,130000.0,360.0,1,5499.0,361.1111111111111,0,1,0,1,0,1,0,1,0
0,3846,0.0,111000.0,360.0,1,3846.0,308.3333333333333,1,0,1,0,1,0,0,1,0
1,2395,0.0,146050.7614213198,360.0,1,2395.0,405.6965595036661,1,0,0,1,1,0,0,1,0
2,1378,1881.0,167000.0,360.0,0,3259.0,463.8888888888889,1,0,0,1,1,0,0,0,1
0,6000,2250.0,265000.0,360.0,0,8250.0,736.1111111111111,0,1,0,1,1,0,0,1,0
1,3988,0.0,50000.0,240.0,1,3988.0,208.33333333333334,1,0,0,1,1,0,0,0,1
0,2366,2531.0,136000.0,360.0,1,4897.0,377.77777777777777,1,0,1,0,1,0,0,1,0
2,3333,2000.0,99000.0,360.0,1,5333.0,275.0,0,1,0,1,0,1,0,1,0
0,2500,2118.0,104000.0,360.0,1,4618.0,288.8888888888889,1,0,0,1,1,0,0,1,0
0,8566,0.0,210000.0,360.0,1,8566.0,583.3333333333334,1,0,1,0,1,0,0,0,1
0,5695,4167.0,175000.0,360.0,1,9862.0,486.1111111111111,1,0,0,1,1,0,0,1,0
0,2958,2900.0,131000.0,360.0,1,5858.0,363.8888888888889,1,0,0,1,1,0,0,1,0
2,6250,5654.0,188000.0,180.0,1,11904.0,1044.4444444444443,1,0,0,1,1,0,0,1,0
2,3273,1820.0,81000.0,360.0,1,5093.0,225.0,1,0,0,1,0,1,0,0,1
0,4133,0.0,122000.0,360.0,1,4133.0,338.8888888888889,1,0,1,0,1,0,0,1,0
0,3620,0.0,25000.0,120.0,1,3620.0,208.33333333333334,1,0,1,0,0,1,0,1,0
0,6782,0.0,146050.7614213198,360.0,0,6782.0,405.6965595036661,0,1,1,0,1,0,0,0,1
0,2484,2302.0,137000.0,360.0,1,4786.0,380.55555555555554,1,0,0,1,1,0,0,1,0
0,1977,997.0,50000.0,360.0,1,2974.0,138.88888888888889,1,0,0,1,1,0,0,1,0
0,4188,0.0,115000.0,180.0,1,4188.0,638.8888888888889,1,0,0,1,0,1,0,1,0
0,1759,3541.0,131000.0,360.0,1,5300.0,363.8888888888889,1,0,0,1,1,0,0,1,0
2,4288,3263.0,133000.0,180.0,1,7551.0,738.8888888888889,1,0,0,1,0,1,0,0,1
0,4843,3806.0,151000.0,360.0,1,8649.0,419.44444444444446,1,0,1,0,1,0,0,1,0
0,13650,0.0,146050.7614213198,360.0,1,13650.0,405.6965595036661,1,0,0,1,1,0,0,0,1
0,4652,3583.0,146050.7614213198,360.0,1,8235.0,405.6965595036661,1,0,0,1,1,0,0,1,0
0,3816,754.0,160000.0,360.0,1,4570.0,444.44444444444446,1,0,0,1,1,0,0,0,1
1,3052,1030.0,100000.0,360.0,1,4082.0,277.77777777777777,1,0,0,1,1,0,0,0,1
2,11417,1126.0,225000.0,360.0,1,12543.0,625.0,1,0,0,1,1,0,0,0,1
0,7333,0.0,120000.0,360.0,0,7333.0,333.3333333333333,1,0,1,0,0,1,1,0,0
2,3800,3600.0,216000.0,360.0,0,7400.0,600.0,0,1,0,1,1,0,0,0,1
3,2071,754.0,94000.0,480.0,1,2825.0,195.83333333333334,1,0,0,1,0,1,0,1,0
0,5316,0.0,136000.0,360.0,1,5316.0,377.77777777777777,1,0,1,0,1,0,0,0,1
0,2929,2333.0,139000.0,360.0,1,5262.0,386.1111111111111,1,0,0,1,1,0,0,1,0
0,3572,4114.0,152000.0,341.9699499165275,0,7686.0,444.4834993165398,0,1,0,1,0,1,1,0,0
1,7451,0.0,146050.7614213198,360.0,1,7451.0,405.6965595036661,1,0,1,0,1,0,0,1,0
0,5050,0.0,118000.0,360.0,1,5050.0,327.77777777777777,1,0,1,0,1,0,0,1,0
1,14583,0.0,185000.0,180.0,1,14583.0,1027.7777777777778,1,0,0,1,1,0,1,0,0
0,3167,2283.0,154000.0,360.0,1,5450.0,427.77777777777777,1,0,0,1,1,0,0,1,0
1,2214,1398.0,85000.0,360.0,1,3612.0,236.11111111111111,0,1,0,1,1,0,0,0,1
0,5568,2142.0,175000.0,360.0,0,7710.0,486.1111111111111,1,0,0,1,1,0,1,0,0
0,10408,0.0,259000.0,360.0,1,10408.0,719.4444444444445,1,0,1,0,1,0,0,0,1
0,5667,2667.0,180000.0,360.0,1,8334.0,500.0,1,0,0,1,1,0,1,0,0
0,4166,0.0,44000.0,360.0,1,4166.0,122.22222222222223,1,0,1,0,1,0,0,1,0
0,2137,8980.0,137000.0,360.0,1,11117.0,380.55555555555554,0,1,1,0,1,0,0,1,0
2,2957,0.0,81000.0,360.0,1,2957.0,225.0,1,0,0,1,1,0,0,1,0
0,4300,2014.0,194000.0,360.0,1,6314.0,538.8888888888889,1,0,0,1,0,1,1,0,0
0,3692,0.0,93000.0,360.0,1,3692.0,258.3333333333333,0,1,1,0,1,0,1,0,0
3,20000,0.0,370000.0,360.0,1,20000.0,1027.7777777777778,1,0,0,1,1,0,1,0,0
0,3865,1640.0,146050.7614213198,360.0,1,5505.0,405.6965595036661,1,0,1,0,1,0,1,0,0
1,10513,3850.0,160000.0,180.0,0,14363.0,888.8888888888889,0,1,0,1,1,0,0,0,1
0,6080,2569.0,182000.0,360.0,0,8649.0,505.55555555555554,0,1,0,1,1,0,1,0,0
0,20000,0.0,650000.0,480.0,1,20000.0,1354.1666666666667,0,1,1,0,1,0,0,0,1
0,2014,1929.0,74000.0,360.0,1,3943.0,205.55555555555554,1,0,1,0,1,0,0,0,1
0,2718,0.0,70000.0,360.0,1,2718.0,194.44444444444446,1,0,1,0,1,0,0,1,0
0,3459,0.0,25000.0,120.0,1,3459.0,208.33333333333334,1,0,0,1,1,0,0,1,0
0,4895,0.0,102000.0,360.0,1,4895.0,283.3333333333333,1,0,1,0,1,0,0,1,0
3,4000,7750.0,290000.0,360.0,0,11750.0,805.5555555555555,1,0,0,1,1,0,0,1,0
0,4583,0.0,84000.0,360.0,0,4583.0,233.33333333333334,1,0,0,1,1,0,1,0,0
2,3316,3500.0,88000.0,360.0,1,6816.0,244.44444444444446,1,0,0,1,1,0,0,0,1
0,14999,0.0,242000.0,360.0,0,14999.0,672.2222222222222,0,1,1,0,1,0,0,1,0
2,4200,1430.0,129000.0,360.0,0,5630.0,358.3333333333333,1,0,0,1,0,1,1,0,0
2,5042,2083.0,185000.0,360.0,0,7125.0,513.8888888888889,1,0,0,1,1,0,1,0,0
0,5417,0.0,168000.0,360.0,1,5417.0,466.6666666666667,1,0,1,0,1,0,0,0,1
0,6950,0.0,175000.0,180.0,1,6950.0,972.2222222222222,1,0,1,0,1,0,0,1,0
0,2698,2034.0,122000.0,360.0,1,4732.0,338.8888888888889,1,0,0,1,1,0,0,1,0
2,11757,0.0,187000.0,180.0,1,11757.0,1038.888888888889,1,0,0,1,1,0,0,0,1
0,2330,4486.0,100000.0,360.0,1,6816.0,277.77777777777777,1,0,0,1,1,0,0,1,0
2,14866,0.0,70000.0,360.0,1,14866.0,194.44444444444446,1,0,0,1,1,0,0,0,1
1,1538,1425.0,30000.0,360.0,1,2963.0,83.33333333333333,1,0,0,1,1,0,0,0,1
0,10000,1666.0,225000.0,360.0,0,11666.0,625.0,1,0,1,0,1,0,1,0,0
0,4860,830.0,125000.0,360.0,1,5690.0,347.22222222222223,1,0,0,1,1,0,0,1,0
0,6277,0.0,118000.0,360.0,0,6277.0,327.77777777777777,0,1,1,0,1,0,1,0,0
0,2577,3750.0,152000.0,360.0,1,6327.0,422.22222222222223,1,0,0,1,1,0,1,0,0
0,9166,0.0,244000.0,360.0,0,9166.0,677.7777777777778,1,0,1,0,1,0,0,0,1
2,2281,0.0,113000.0,360.0,0,2281.0,313.8888888888889,1,0,0,1,0,1,1,0,0
0,3254,0.0,50000.0,360.0,1,3254.0,138.88888888888889,1,0,1,0,1,0,0,0,1
3,20000,0.0,600000.0,180.0,1,20000.0,3333.3333333333335,0,1,0,1,1,0,0,1,0
1,6000,0.0,160000.0,360.0,1,6000.0,444.44444444444446,0,1,0,1,1,0,1,0,0
1,9538,0.0,187000.0,360.0,1,9538.0,519.4444444444445,1,0,0,1,1,0,0,0,1
0,2980,2083.0,120000.0,360.0,1,5063.0,333.3333333333333,1,0,1,0,1,0,1,0,0
0,4583,5625.0,255000.0,360.0,1,10208.0,708.3333333333334,1,0,0,1,1,0,0,1,0
0,1863,1041.0,98000.0,360.0,1,2904.0,272.22222222222223,1,0,0,1,0,1,0,1,0
0,7933,0.0,275000.0,360.0,0,7933.0,763.8888888888889,1,0,0,1,1,0,0,0,1
1,3089,1280.0,121000.0,360.0,0,4369.0,336.1111111111111,0,1,0,1,1,0,0,1,0
2,4167,1447.0,158000.0,360.0,1,5614.0,438.8888888888889,1,0,0,1,1,0,1,0,0
0,9323,0.0,75000.0,180.0,1,9323.0,416.6666666666667,1,0,0,1,1,0,0,0,1
0,3707,3166.0,182000.0,341.9699499165275,1,6873.0,532.2105057605937,1,0,0,1,1,0,1,0,0
0,4583,0.0,112000.0,360.0,0,4583.0,311.1111111111111,1,0,0,1,1,0,1,0,0
0,2439,3333.0,129000.0,360.0,1,5772.0,358.3333333333333,1,0,0,1,1,0,1,0,0
0,2237,0.0,63000.0,480.0,0,2237.0,131.25,0,1,1,0,1,0,0,1,0
2,8000,0.0,200000.0,360.0,1,8000.0,555.5555555555555,1,0,0,1,1,0,0,1,0
0,1820,1769.0,95000.0,360.0,1,3589.0,263.8888888888889,1,0,0,1,0,1,1,0,0
3,20000,0.0,700000.0,300.0,1,20000.0,2333.3333333333335,1,0,0,1,1,0,0,0,1
3,3522,0.0,81000.0,180.0,0,3522.0,450.0,1,0,0,1,0,1,1,0,0
0,5708,5625.0,187000.0,360.0,1,11333.0,519.4444444444445,1,0,0,1,1,0,0,1,0
0,4344,736.0,87000.0,360.0,0,5080.0,241.66666666666666,1,0,0,1,0,1,0,1,0
0,3497,1964.0,116000.0,360.0,1,5461.0,322.22222222222223,1,0,0,1,1,0,1,0,0
2,2045,1619.0,101000.0,360.0,1,3664.0,280.55555555555554,1,0,0,1,1,0,1,0,0
3,5516,10000.0,495000.0,360.0,0,16816.0,1375.0,0,1,0,1,1,0,0,1,0
1,3750,0.0,116000.0,360.0,1,3750.0,322.22222222222223,1,0,0,1,1,0,0,1,0
0,2333,1451.0,102000.0,480.0,0,3784.0,212.5,0,1,1,0,0,1,0,0,1
1,6400,7250.0,180000.0,360.0,0,13650.0,500.0,0,1,0,1,1,0,0,0,1
0,1916,5063.0,67000.0,360.0,0,6979.0,186.11111111111111,0,1,1,0,1,0,1,0,0
0,4600,0.0,73000.0,180.0,1,4600.0,405.55555555555554,1,0,0,1,1,0,0,1,0
1,20000,0.0,260000.0,360.0,0,20000.0,722.2222222222222,1,0,0,1,1,0,0,1,0
0,3625,0.0,108000.0,360.0,1,3625.0,300.0,1,0,0,1,1,0,0,1,0
0,20000,4750.0,120000.0,360.0,1,20000.0,333.3333333333333,1,0,0,1,1,0,0,1,0
1,2178,0.0,66000.0,300.0,0,2178.0,220.0,0,1,0,1,1,0,1,0,0
0,2383,2138.0,58000.0,360.0,1,4521.0,161.11111111111111,0,1,0,1,1,0,1,0,0
0,674,5296.0,168000.0,360.0,1,5970.0,466.6666666666667,1,0,0,1,1,0,1,0,0
0,9328,0.0,188000.0,180.0,1,9328.0,1044.4444444444443,1,0,0,1,1,0,1,0,0
0,4885,0.0,48000.0,360.0,1,4885.0,133.33333333333334,1,0,1,0,0,1,1,0,0
0,12000,0.0,164000.0,360.0,0,12000.0,455.55555555555554,1,0,1,0,1,0,0,1,0
0,6033,0.0,160000.0,360.0,0,6033.0,444.44444444444446,1,0,0,1,0,1,0,0,1
0,3858,0.0,76000.0,360.0,1,3858.0,211.11111111111111,1,0,1,0,1,0,0,1,0
0,4191,0.0,120000.0,360.0,1,4191.0,333.3333333333333,1,0,1,0,1,0,1,0,0
1,3125,2583.0,170000.0,360.0,0,5708.0,472.22222222222223,1,0,0,1,1,0,0,1,0
0,8333,3750.0,187000.0,360.0,1,12083.0,519.4444444444445,1,0,1,0,1,0,1,0,0
0,1907,2365.0,120000.0,341.9699499165275,1,4272.0,350.9080257762156,1,0,1,0,0,1,0,0,1
0,3416,2816.0,113000.0,360.0,1,6232.0,313.8888888888889,0,1,0,1,1,0,0,1,0
0,11000,0.0,83000.0,360.0,0,11000.0,230.55555555555554,1,0,1,0,1,0,0,0,1
1,2600,2500.0,90000.0,360.0,1,5100.0,250.0,1,0,0,1,0,1,0,1,0
2,4923,0.0,166000.0,360.0,1,4923.0,461.1111111111111,0,1,1,0,1,0,0,1,0
3,3992,0.0,146050.7614213198,180.0,0,3992.0,811.3931190073322,1,0,0,1,0,1,0,0,1
1,3500,1083.0,135000.0,360.0,1,4583.0,375.0,1,0,0,1,0,1,0,0,1
2,3917,0.0,124000.0,360.0,1,3917.0,344.44444444444446,1,0,0,1,0,1,0,1,0
0,4408,0.0,120000.0,360.0,1,4408.0,333.3333333333333,1,0,1,0,0,1,0,1,0
0,3244,0.0,80000.0,360.0,1,3244.0,222.22222222222223,1,0,1,0,1,0,0,0,1
0,3975,2531.0,55000.0,360.0,1,6506.0,152.77777777777777,1,0,1,0,0,1,1,0,0
0,2479,0.0,59000.0,360.0,1,2479.0,163.88888888888889,1,0,1,0,1,0,0,0,1
0,3418,0.0,127000.0,360.0,0,3418.0,352.77777777777777,1,0,1,0,1,0,0,1,0
0,10000,0.0,214000.0,360.0,0,10000.0,594.4444444444445,1,0,1,0,1,0,0,1,0
3,3430,1250.0,128000.0,360.0,0,4680.0,355.55555555555554,0,1,0,1,1,0,0,1,0
1,7787,0.0,240000.0,360.0,1,7787.0,666.6666666666666,1,0,0,1,1,0,0,0,1
3,5703,0.0,130000.0,360.0,1,5703.0,361.1111111111111,1,0,0,1,0,1,1,0,0
0,3173,3021.0,137000.0,360.0,1,6194.0,380.55555555555554,1,0,0,1,1,0,0,0,1
3,3850,983.0,100000.0,360.0,1,4833.0,277.77777777777777,1,0,0,1,0,1,0,1,0
0,150,1800.0,135000.0,360.0,0,1950.0,375.0,1,0,0,1,1,0,1,0,0
0,3727,1775.0,131000.0,360.0,1,5502.0,363.8888888888889,1,0,0,1,1,0,0,1,0
2,5000,0.0,72000.0,360.0,0,5000.0,200.0,0,1,0,1,1,0,0,1,0
2,4283,2383.0,127000.0,360.0,1,6666.0,352.77777777777777,0,1,0,1,1,0,0,1,0
0,2221,0.0,60000.0,360.0,0,2221.0,166.66666666666666,0,1,0,1,1,0,0,0,1
2,4009,1717.0,116000.0,360.0,1,5726.0,322.22222222222223,1,0,0,1,1,0,0,1,0
0,2971,2791.0,144000.0,360.0,1,5762.0,400.0,1,0,1,0,1,0,0,1,0
0,7578,1010.0,175000.0,341.9699499165275,1,8588.0,511.7408709236478,1,0,0,1,1,0,0,1,0
0,6250,0.0,128000.0,360.0,1,6250.0,355.55555555555554,1,0,0,1,1,0,0,1,0
0,3250,0.0,170000.0,360.0,0,3250.0,472.22222222222223,1,0,0,1,1,0,1,0,0
0,4735,0.0,138000.0,360.0,0,4735.0,383.3333333333333,1,0,0,1,0,1,0,0,1
2,6250,1695.0,210000.0,360.0,1,7945.0,583.3333333333334,1,0,0,1,1,0,0,1,0
0,4758,0.0,158000.0,480.0,1,4758.0,329.1666666666667,1,0,0,1,1,0,0,1,0
0,6400,0.0,200000.0,360.0,1,6400.0,555.5555555555555,1,0,1,0,1,0,1,0,0
1,2491,2054.0,104000.0,360.0,1,4545.0,288.8888888888889,1,0,0,1,1,0,0,1,0
0,3716,0.0,42000.0,180.0,1,3716.0,233.33333333333334,1,0,0,1,1,0,1,0,0
0,3189,2598.0,120000.0,341.9699499165275,1,5787.0,350.9080257762156,1,0,1,0,0,1,1,0,0
0,8333,0.0,280000.0,360.0,1,8333.0,777.7777777777778,1,0,1,0,1,0,0,1,0
1,3155,1779.0,140000.0,360.0,1,4934.0,388.8888888888889,1,0,0,1,1,0,0,1,0
1,5500,1260.0,170000.0,360.0,1,6760.0,472.22222222222223,1,0,0,1,1,0,1,0,0
0,5746,0.0,255000.0,360.0,0,5746.0,708.3333333333334,0,1,0,1,1,0,0,0,1
0,3463,0.0,122000.0,360.0,1,3463.0,338.8888888888889,0,1,1,0,1,0,0,0,1
1,3812,0.0,112000.0,360.0,1,3812.0,311.1111111111111,1,0,1,0,1,0,1,0,0
1,3315,0.0,96000.0,360.0,1,3315.0,266.6666666666667,1,0,0,1,1,0,0,1,0
2,5819,5000.0,120000.0,360.0,1,10819.0,333.3333333333333,1,0,0,1,1,0,1,0,0
1,2510,1983.0,140000.0,180.0,0,4493.0,777.7777777777778,1,0,0,1,0,1,0,0,1
0,2965,5701.0,155000.0,60.0,1,8666.0,2583.3333333333335,1,0,1,0,1,0,0,0,1
2,6250,1300.0,108000.0,360.0,1,7550.0,300.0,1,0,0,1,1,0,1,0,0
0,3406,4417.0,123000.0,360.0,1,7823.0,341.6666666666667,1,0,0,1,0,1,0,1,0
0,6050,4333.0,120000.0,180.0,0,10383.0,666.6666666666666,1,0,1,0,1,0,0,0,1
2,9703,0.0,112000.0,360.0,1,9703.0,311.1111111111111,1,0,0,1,1,0,0,0,1
1,6608,0.0,137000.0,180.0,1,6608.0,761.1111111111111,1,0,0,1,0,1,0,0,1
1,2882,1843.0,123000.0,480.0,1,4725.0,256.25,1,0,0,1,1,0,0,1,0
0,1809,1868.0,90000.0,360.0,1,3677.0,250.0,1,0,0,1,1,0,0,0,1
0,1668,3890.0,201000.0,360.0,0,5558.0,558.3333333333334,0,1,0,1,0,1,0,1,0
2,3427,0.0,138000.0,360.0,0,3427.0,383.3333333333333,1,0,1,0,1,0,0,0,1
0,2583,2167.0,104000.0,360.0,1,4750.0,288.8888888888889,1,0,1,0,0,1,1,0,0
1,2661,7101.0,279000.0,180.0,1,9762.0,1550.0,1,0,0,1,0,1,0,1,0
0,16250,0.0,192000.0,360.0,0,16250.0,533.3333333333334,0,1,1,0,1,0,0,0,1
3,3083,0.0,255000.0,360.0,1,3083.0,708.3333333333334,1,0,1,0,1,0,1,0,0
0,6045,0.0,115000.0,360.0,0,6045.0,319.44444444444446,0,1,1,0,0,1,1,0,0
3,5250,0.0,94000.0,360.0,0,5250.0,261.1111111111111,1,0,0,1,1,0,0,0,1
0,14683,2100.0,304000.0,360.0,0,16783.0,844.4444444444445,1,0,0,1,1,0,1,0,0
3,4931,0.0,128000.0,360.0,0,4931.0,355.55555555555554,0,1,0,1,0,1,0,1,0
1,6083,4250.0,330000.0,360.0,1,10333.0,916.6666666666666,0,1,0,1,1,0,0,0,1
0,2060,2209.0,134000.0,360.0,1,4269.0,372.22222222222223,1,0,1,0,1,0,0,1,0
1,3481,0.0,155000.0,36.0,0,3481.0,4305.555555555556,1,0,1,0,1,0,0,1,0
0,7200,0.0,120000.0,360.0,1,7200.0,333.3333333333333,1,0,1,0,1,0,1,0,0
0,5166,0.0,128000.0,360.0,1,5166.0,355.55555555555554,1,0,1,0,1,0,0,1,0
0,4095,3447.0,151000.0,360.0,1,7542.0,419.44444444444446,1,0,1,0,1,0,1,0,0
2,4708,1387.0,150000.0,360.0,1,6095.0,416.6666666666667,1,0,0,1,1,0,0,1,0
